Vivado Simulator 2020.1
Time resolution is 1 ps
Time =            106500000, Counter = 226, amp = 149, Data_out =  33490
Time =            107500000, Counter = 431, amp = 118, Data_out =  33643
Time =            108500000, Counter = 636, amp = 59, Data_out =  32291
Time =            109500000, Counter = 841, amp = 58, Data_out =  31311
Time =            110500000, Counter = 22, amp = 109, Data_out =  32022
Time =            111500000, Counter = 227, amp = 149, Data_out =  33442
Time =            112500000, Counter = 432, amp = 118, Data_out =  33610
Time =            113500000, Counter = 637, amp = 59, Data_out =  32265
Time =            114500000, Counter = 842, amp = 58, Data_out =  31311
Time =            115500000, Counter = 23, amp = 109, Data_out =  32048
Time =            116500000, Counter = 228, amp = 149, Data_out =  33475
Time =            117500000, Counter = 433, amp = 118, Data_out =  33658
Time =            118500000, Counter = 638, amp = 59, Data_out =  32356
Time =            119500000, Counter = 843, amp = 58, Data_out =  31458
Time =            120500000, Counter = 24, amp = 109, Data_out =  32237
Time =            121500000, Counter = 229, amp = 149, Data_out =  33664
Time =            122500000, Counter = 434, amp = 118, Data_out =  33802
Time =            123500000, Counter = 639, amp = 59, Data_out =  32431
Time =            124500000, Counter = 844, amp = 58, Data_out =  31486
Time =            125500000, Counter = 25, amp = 109, Data_out =  32243
Time =            126500000, Counter = 230, amp = 149, Data_out =  33666
Time =            127500000, Counter = 435, amp = 118, Data_out =  33802
Time =            128500000, Counter = 640, amp = 59, Data_out =  32431
Time =            129500000, Counter = 845, amp = 58, Data_out =  31491
Time =            130500000, Counter = 26, amp = 109, Data_out =  32265
Time =            131500000, Counter = 231, amp = 149, Data_out =  33678
Time =            132500000, Counter = 436, amp = 118, Data_out =  33805
Time =            133500000, Counter = 641, amp = 59, Data_out =  32431
Time =            134500000, Counter = 846, amp = 58, Data_out =  31491
Time =            135500000, Counter = 27, amp = 109, Data_out =  32265
Time =            136500000, Counter = 232, amp = 149, Data_out =  33684
Time =            137500000, Counter = 437, amp = 118, Data_out =  33805
Time =            138500000, Counter = 642, amp = 59, Data_out =  32431
Time =            139500000, Counter = 847, amp = 58, Data_out =  31491
Time =            140500000, Counter = 28, amp = 109, Data_out =  32265
Time =            141500000, Counter = 233, amp = 149, Data_out =  33684
Time =            142500000, Counter = 438, amp = 118, Data_out =  33805
Time =            143500000, Counter = 643, amp = 59, Data_out =  32431
Time =            144500000, Counter = 848, amp = 58, Data_out =  31491
Time =            145500000, Counter = 29, amp = 109, Data_out =  32265
Time =            146500000, Counter = 234, amp = 149, Data_out =  33684
Time =            147500000, Counter = 439, amp = 115, Data_out =  33799
Time =            148500000, Counter = 644, amp = 58, Data_out =  32429
Time =            149500000, Counter = 849, amp = 59, Data_out =  31493
Time =            150500000, Counter = 30, amp = 109, Data_out =  32265
Time =            151500000, Counter = 235, amp = 149, Data_out =  33681
Time =            152500000, Counter = 440, amp = 115, Data_out =  33786
Time =            153500000, Counter = 645, amp = 58, Data_out =  32408
Time =            154500000, Counter = 850, amp = 59, Data_out =  31482
Time =            155500000, Counter = 31, amp = 112, Data_out =  32274
Time =            156500000, Counter = 236, amp = 149, Data_out =  33684
Time =            157500000, Counter = 441, amp = 115, Data_out =  33786
Time =            158500000, Counter = 646, amp = 58, Data_out =  32408
Time =            159500000, Counter = 851, amp = 59, Data_out =  31461
Time =            160500000, Counter = 32, amp = 112, Data_out =  32191
Time =            161500000, Counter = 237, amp = 150, Data_out =  33533
Time =            162500000, Counter = 442, amp = 115, Data_out =  33585
Time =            163500000, Counter = 647, amp = 58, Data_out =  32206
Time =            164500000, Counter = 852, amp = 59, Data_out =  31311
Time =            165500000, Counter = 33, amp = 112, Data_out =  32118
Time =            166500000, Counter = 238, amp = 150, Data_out =  33534
Time =            167500000, Counter = 443, amp = 115, Data_out =  33636
Time =            168500000, Counter = 648, amp = 58, Data_out =  32304
Time =            169500000, Counter = 853, amp = 59, Data_out =  31461
Time =            170500000, Counter = 34, amp = 112, Data_out =  32307
Time =            171500000, Counter = 239, amp = 150, Data_out =  33714
Time =            172500000, Counter = 444, amp = 115, Data_out =  33765
Time =            173500000, Counter = 649, amp = 58, Data_out =  32384
Time =            174500000, Counter = 854, amp = 59, Data_out =  31513
Time =            175500000, Counter = 35, amp = 112, Data_out =  32360
Time =            176500000, Counter = 240, amp = 150, Data_out =  33778
Time =            177500000, Counter = 445, amp = 115, Data_out =  33828
Time =            178500000, Counter = 650, amp = 58, Data_out =  32428
Time =            179500000, Counter = 855, amp = 59, Data_out =  31549
Time =            180500000, Counter = 36, amp = 112, Data_out =  32388
Time =            181500000, Counter = 241, amp = 150, Data_out =  33790
Time =            182500000, Counter = 446, amp = 115, Data_out =  33831
Time =            183500000, Counter = 651, amp = 58, Data_out =  32428
Time =            184500000, Counter = 856, amp = 59, Data_out =  31549
Time =            185500000, Counter = 37, amp = 112, Data_out =  32391
Time =            186500000, Counter = 242, amp = 150, Data_out =  33802
Time =            187500000, Counter = 447, amp = 115, Data_out =  33835
Time =            188500000, Counter = 652, amp = 58, Data_out =  32429
Time =            189500000, Counter = 857, amp = 59, Data_out =  31549
Time =            190500000, Counter = 38, amp = 112, Data_out =  32391
Time =            191500000, Counter = 243, amp = 150, Data_out =  33802
Time =            192500000, Counter = 448, amp = 115, Data_out =  33837
Time =            193500000, Counter = 653, amp = 58, Data_out =  32429
Time =            194500000, Counter = 858, amp = 59, Data_out =  31549
Time =            195500000, Counter = 39, amp = 112, Data_out =  32391
Time =            196500000, Counter = 244, amp = 150, Data_out =  33802
Time =            197500000, Counter = 449, amp = 112, Data_out =  33831
Time =            198500000, Counter = 654, amp = 58, Data_out =  32429
Time =            199500000, Counter = 859, amp = 61, Data_out =  31553
Time =            200500000, Counter = 40, amp = 112, Data_out =  32391
Time =            201500000, Counter = 245, amp = 150, Data_out =  33799
Time =            202500000, Counter = 450, amp = 112, Data_out =  33819
